Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min,Is_RushHour,Delivery_Class
8562,14.1,Clear,Medium,Morning,Bike,24,6.0,75.3,1,2
3148,3.09,Snowy,Medium,Evening,Bike,11,0.0,43.8,1,1
3917,1.18,Rainy,Low,Evening,Bike,20,1.0,41.5,1,1
11322,19.17,Clear,Low,Night,Bike,18,23.0,58.6,0,1
5855,7.16,Rainy,Medium,Morning,Scooter,20,2.0,56.5,1,1
3281,3.89,Clear,Medium,Evening,Scooter,22,0.0,36.1,1,0
10911,17.25,Clear,Medium,Morning,Bike,12,15.0,60.4,1,1
2402,1.96,Windy,Medium,Evening,Scooter,21,1.0,43.4,1,1
5916,7.24,Clear,Low,Night,Scooter,19,2.0,35.3,0,0
11759,17.41,Clear,Low,Afternoon,Scooter,18,30.0,51.4,0,1
5600,6.48,Clear,Low,Evening,Bike,13,3.0,32.7,1,0
6578,10.56,Clear,Medium,Morning,Bike,13,5.0,51.1,1,1
9704,15.52,Rainy,Medium,Evening,Car,16,9.0,61.1,1,1
10790,17.38,Snowy,High,Morning,Bike,19,17.0,86.4,1,2
5346,6.71,Rainy,High,Afternoon,Bike,16,2.0,57.0,0,1
2953,1.53,Clear,Medium,Night,Car,12,0.0,18.3,0,0
6238,9.97,Snowy,Low,Night,Bike,27,6.0,66.2,0,1
7474,9.71,Clear,High,Morning,Bike,14,3.0,53.5,1,1
6421,9.78,Clear,High,Afternoon,Scooter,21,4.0,52.1,0,1
7103,9.36,Clear,Low,Morning,Scooter,16,5.0,37.2,1,0
6386,10.35,Windy,Low,Morning,Car,14,4.0,50.0,1,1
450,2.13,Rainy,Low,Morning,Scooter,9,2.0,22.0,1,0
6055,9.19,Snowy,Medium,Night,Bike,28,4.0,67.6,0,1
8515,14.02,Clear,Medium,Afternoon,Scooter,15,7.0,56.4,0,1
7441,10.24,Clear,Medium,Morning,Car,14,6.0,46.2,1,1
10194,18.7,Windy,Medium,Evening,Car,27,27.0,74.4,1,2
2151,0.34,Snowy,Low,Evening,Bike,31,1.0,52.4,1,1
9308,15.42,Foggy,High,Morning,Scooter,23,8.0,77.6,1,2
8781,13.2,Clear,Low,Evening,Bike,25,10.0,58.4,1,1
11072,16.23,Clear,High,Afternoon,Bike,21,12.0,73.6,0,2
2930,3.3,Foggy,Medium,Morning,Scooter,23,1.0,46.1,1,1
4526,7.67,Clear,Medium,Evening,Bike,14,3.0,43.1,1,1
9006,12.78,Clear,Medium,Morning,Bike,11,6.0,51.5,1,1
11374,19.65,Windy,Low,Afternoon,Scooter,23,30.0,64.6,0,1
7201,10.63,Clear,Medium,Morning,Bike,25,4.0,58.4,1,1
4739,6.23,Foggy,Medium,Morning,Car,30,3.0,53.3,1,1
4038,7.5,Clear,Low,Afternoon,Bike,10,3.0,30.4,0,0
34,19.0,Clear,High,Morning,Car,28,3.0,89.0,1,2
3810,1.08,Clear,High,Evening,Car,22,0.0,37.2,1,0
4940,5.64,Clear,Medium,Morning,Scooter,16,1.0,38.2,1,0
313,0.99,Unknown,Medium,Evening,Bike,15,5.0,32.0,1,0
3892,0.5,Foggy,Medium,Afternoon,Bike,27,1.0,44.2,0,1
9736,13.6,Clear,High,Afternoon,Car,16,7.0,44.7,0,1
11745,19.82,Snowy,Medium,Evening,Bike,9,17.0,70.3,1,2
379,16.38,Clear,Medium,Morning,Bike,6,2.0,51.0,1,1
7757,11.35,Clear,Medium,Morning,Car,22,3.0,55.0,1,1
3764,1.05,Clear,Medium,Morning,Scooter,28,1.0,41.2,1,1
6622,8.57,Windy,Low,Morning,Scooter,9,3.0,33.6,1,0
3239,1.01,Clear,Low,Evening,Scooter,28,0.0,41.3,1,1
350,12.7,Clear,Low,Morning,Scooter,22,2.0,57.0,1,1
9427,15.67,Windy,Low,Morning,Bike,24,6.0,69.8,1,1
11964,16.0,Windy,High,Morning,Scooter,17,14.0,69.4,1,1
9022,14.23,Windy,Medium,Night,Bike,20,9.0,62.6,0,1
2646,2.89,Snowy,Medium,Morning,Car,22,1.0,51.0,1,1
2529,3.99,Foggy,Medium,Evening,Car,9,1.0,28.9,1,0
3252,3.61,Clear,Low,Evening,Bike,12,0.0,32.8,1,0
9512,15.58,Rainy,Medium,Afternoon,Bike,12,7.0,61.7,0,1
10308,17.81,Rainy,Medium,Afternoon,Bike,14,13.0,63.6,0,1
432,15.35,Rainy,High,Night,Scooter,23,9.0,80.0,0,2
7293,11.0,Snowy,Low,Evening,Car,26,3.0,64.2,1,1
4336,4.42,Rainy,Low,Evening,Car,13,3.0,29.7,1,0
10706,19.09,Clear,Low,Afternoon,Bike,7,29.0,51.7,0,1
964,8.09,Clear,High,Afternoon,Scooter,15,4.0,51.0,0,1
9330,13.15,Clear,Medium,Evening,Bike,10,7.0,45.2,1,1
7552,11.02,Clear,Medium,Morning,Car,18,4.0,51.4,1,1
9040,12.67,Windy,Low,Afternoon,Car,13,7.0,38.3,0,0
8296,14.24,Foggy,Low,Afternoon,Car,21,9.0,50.4,0,1
5497,6.23,Foggy,Medium,Morning,Bike,25,3.0,60.2,1,1
3738,3.86,Clear,High,Morning,Bike,17,1.0,45.4,1,1
273,17.41,Snowy,Medium,Evening,Bike,20,4.0,80.0,1,2
10931,18.07,Rainy,High,Morning,Scooter,23,17.0,85.2,1,2
8874,12.08,Clear,High,Evening,Bike,26,10.0,65.4,1,1
10921,19.44,Clear,High,Morning,Bike,22,30.0,76.3,1,2
2516,2.2,Clear,Medium,Morning,Scooter,25,1.0,48.2,1,1
485,11.89,Clear,Medium,Afternoon,Bike,28,0.0,79.0,0,2
4269,7.02,Foggy,Medium,Evening,Bike,16,3.0,50.0,1,1
9823,15.87,Clear,Low,Afternoon,Bike,25,6.0,61.6,0,1
10751,17.63,Foggy,Medium,Evening,Bike,14,18.0,66.4,1,1
9752,13.74,Clear,Medium,Evening,Scooter,16,9.0,64.9,1,1
2519,3.39,Clear,Low,Night,Bike,12,0.0,25.5,0,0
905,8.72,Snowy,Medium,Evening,Car,18,7.0,64.0,1,1
7989,10.1,Windy,Medium,Evening,Bike,18,6.0,54.2,1,1
5602,4.12,Clear,Medium,Afternoon,Car,15,3.0,20.5,0,0
11571,16.49,Clear,High,Evening,Scooter,19,26.0,66.2,1,1
775,16.05,Snowy,Medium,Evening,Bike,11,2.0,89.0,1,2
8266,15.1,Snowy,Medium,Night,Bike,15,10.0,66.3,0,1
4088,7.94,Clear,Medium,Morning,Scooter,14,2.0,40.3,1,1
10323,19.19,Clear,High,Morning,Bike,14,27.0,71.9,1,2
5408,4.94,Clear,Low,Evening,Bike,24,1.0,40.4,1,1
11202,16.88,Windy,Low,Night,Scooter,25,14.0,56.6,0,1
10390,17.87,Rainy,High,Morning,Bike,19,14.0,82.0,1,2
3304,3.58,Clear,High,Night,Bike,10,0.0,38.7,0,0
11147,18.5,Clear,Low,Evening,Bike,10,17.0,54.8,1,1
10682,16.7,Rainy,Low,Evening,Scooter,17,27.0,59.4,1,1
3791,3.33,Foggy,Low,Evening,Scooter,26,1.0,46.2,1,1
142,5.41,Clear,Medium,Night,Bike,14,5.0,36.0,0,0
11872,16.35,Snowy,Low,Afternoon,Bike,15,30.0,65.3,0,1
5643,4.95,Snowy,Low,Night,Scooter,18,1.0,42.7,0,1
4502,4.24,Rainy,Medium,Morning,Car,22,1.0,49.8,1,1
2335,2.6,Clear,Medium,Morning,Bike,15,1.0,39.6,1,0
9177,15.04,Clear,Low,Morning,Bike,16,6.0,51.3,1,1
2591,3.7,Windy,Medium,Evening,Car,27,0.0,42.9,1,1
3506,2.11,Rainy,Medium,Morning,Car,18,0.0,41.0,1,1
779,14.54,Clear,Medium,Evening,Bike,29,2.0,73.0,1,2
8017,13.73,Clear,Medium,Evening,Bike,14,7.0,60.2,1,1
11128,16.39,Rainy,Medium,Afternoon,Bike,22,13.0,69.7,0,1
5281,7.13,Rainy,Medium,Evening,Bike,11,1.0,47.5,1,1
5798,5.93,Foggy,Medium,Evening,Car,26,3.0,54.0,1,1
8261,13.62,Snowy,Medium,Evening,Scooter,20,7.0,69.3,1,1
137,10.62,Foggy,Low,Evening,Scooter,29,1.0,73.0,1,2
29,12.05,Clear,Low,Evening,Scooter,29,4.0,61.0,1,1
11125,16.57,Snowy,Medium,Evening,Car,31,29.0,82.3,1,2
9733,12.35,Clear,Low,Evening,Scooter,18,9.0,44.2,1,1
11841,17.56,Rainy,Medium,Morning,Scooter,15,30.0,67.2,1,1
3145,0.35,Clear,Medium,Afternoon,Scooter,25,1.0,32.3,0,0
5792,5.18,Clear,High,Morning,Scooter,10,1.0,42.2,1,1
10788,16.82,Rainy,Medium,Evening,Bike,16,11.0,69.4,1,1
10482,18.6,Clear,Medium,Afternoon,Car,19,13.0,53.3,0,1
7576,9.82,Clear,Medium,Morning,Bike,18,5.0,49.9,1,1
11232,16.14,Foggy,Low,Afternoon,Car,20,13.0,51.2,0,1
11075,16.17,Foggy,Medium,Afternoon,Scooter,29,17.0,69.9,0,1
418,6.91,Clear,Low,Evening,Bike,27,8.0,89.0,1,2
8868,13.18,Clear,Low,Evening,Bike,7,8.0,40.6,1,1
3584,3.42,Clear,Medium,Evening,Scooter,9,0.0,30.6,1,0
3167,2.84,Snowy,Medium,Morning,Bike,7,0.0,42.7,1,1
6703,8.31,Clear,Low,Morning,Bike,24,4.0,45.3,1,1
563,3.16,Snowy,Low,Morning,Car,9,5.0,27.0,1,0
10540,16.22,Clear,Medium,Morning,Scooter,23,15.0,63.9,1,1
7763,9.55,Foggy,Medium,Evening,Bike,23,3.0,64.4,1,1
2152,2.89,Snowy,High,Evening,Bike,24,1.0,69.0,1,1
7027,9.99,Clear,Medium,Afternoon,Car,17,6.0,40.0,0,0
10036,16.73,Snowy,Medium,Morning,Scooter,17,22.0,72.3,1,2
8688,14.79,Snowy,Medium,Night,Scooter,17,7.0,63.2,0,1
8794,13.34,Rainy,Low,Evening,Scooter,8,8.0,47.8,1,1
6944,8.41,Windy,Medium,Morning,Scooter,16,6.0,53.6,1,1
5202,4.27,Windy,Medium,Afternoon,Bike,20,2.0,46.4,0,1
2767,3.2,Clear,Medium,Afternoon,Car,25,0.0,36.5,0,0
3981,1.34,Snowy,Low,Evening,Scooter,9,1.0,29.7,1,0
9435,13.31,Clear,Medium,Evening,Bike,31,8.0,71.1,1,2
11908,16.86,Foggy,Medium,Morning,Bike,13,28.0,70.0,1,1
4094,7.37,Clear,Medium,Evening,Bike,10,3.0,41.8,1,1
10263,18.95,Snowy,Low,Morning,Scooter,13,29.0,61.8,1,1
6288,11.99,Clear,Medium,Afternoon,Bike,22,5.0,54.5,0,1
2750,3.68,Snowy,Medium,Afternoon,Bike,7,0.0,39.8,0,0
5376,7.29,Clear,High,Evening,Scooter,25,3.0,56.8,1,1
129,0.64,Clear,High,Night,Bike,10,3.0,24.0,0,0
5343,7.99,Clear,Medium,Afternoon,Bike,23,3.0,48.1,0,1
2308,0.54,Rainy,Medium,Morning,Scooter,15,1.0,33.0,1,0
6567,9.21,Foggy,Low,Evening,Car,10,4.0,32.4,1,0
6666,9.5,Clear,Low,Morning,Scooter,10,3.0,37.4,1,0
9462,12.16,Rainy,Medium,Morning,Bike,20,7.0,66.0,1,1
9790,12.21,Clear,Medium,Evening,Bike,13,10.0,45.9,1,1
3846,3.84,Rainy,Low,Afternoon,Bike,18,1.0,39.8,0,0
9007,12.57,Snowy,High,Morning,Scooter,14,6.0,64.2,1,1
3295,0.56,Clear,Low,Afternoon,Scooter,25,1.0,29.6,0,0
3259,3.54,Rainy,Low,Morning,Bike,15,0.0,42.1,1,1
4458,5.33,Clear,Medium,Morning,Scooter,23,1.0,51.1,1,1
11853,18.04,Clear,Medium,Morning,Bike,24,16.0,69.9,1,1
3692,2.99,Windy,Low,Evening,Car,26,0.0,42.5,1,1
2495,1.22,Foggy,High,Morning,Bike,6,1.0,35.6,1,0
6384,8.46,Clear,Medium,Evening,Bike,20,5.0,45.5,1,1
6516,8.2,Clear,Low,Evening,Bike,16,6.0,38.4,1,0
9720,14.71,Clear,Medium,Evening,Scooter,29,7.0,69.4,1,1
6257,11.5,Clear,Medium,Morning,Bike,19,5.0,52.3,1,1
4611,4.98,Snowy,Low,Afternoon,Scooter,25,3.0,45.0,0,1
5531,6.34,Clear,Low,Afternoon,Bike,24,1.0,44.4,0,1
7367,8.93,Clear,High,Night,Bike,16,4.0,55.1,0,1
7047,11.75,Clear,Medium,Morning,Bike,11,6.0,51.1,1,1
8832,15.45,Rainy,Low,Afternoon,Bike,11,6.0,48.3,0,1
6845,10.6,Clear,Medium,Afternoon,Scooter,25,4.0,55.0,0,1
6794,8.36,Windy,High,Afternoon,Scooter,29,4.0,61.5,0,1
7945,11.64,Clear,Medium,Afternoon,Car,17,4.0,44.8,0,1
4857,4.32,Rainy,Medium,Morning,Scooter,27,2.0,55.7,1,1
5878,5.09,Windy,Medium,Afternoon,Bike,14,2.0,47.0,0,1
9449,15.25,Clear,Low,Morning,Car,21,7.0,52.2,1,1
3527,3.53,Clear,Medium,Evening,Bike,21,1.0,41.1,1,1
2916,0.86,Windy,High,Evening,Car,16,0.0,35.9,1,0
7607,9.18,Clear,Medium,Afternoon,Bike,31,6.0,62.5,0,1
10996,18.55,Windy,High,Evening,Scooter,26,15.0,86.1,1,2
8325,14.59,Rainy,Medium,Afternoon,Bike,20,8.0,61.1,0,1
994,12.01,Clear,Low,Morning,Scooter,26,6.0,57.0,1,1
7247,9.64,Rainy,High,Afternoon,Bike,12,4.0,57.7,0,1
5234,5.62,Clear,Low,Evening,Bike,23,2.0,43.9,1,1
8094,14.84,Rainy,Medium,Evening,Car,21,9.0,62.4,1,1
2952,3.79,Clear,High,Night,Car,19,0.0,37.6,0,0
11253,18.81,Foggy,Low,Afternoon,Car,16,28.0,51.7,0,1
11635,19.39,Rainy,Low,Evening,Scooter,18,17.0,72.2,1,2
9120,14.65,Rainy,Low,Afternoon,Scooter,19,7.0,56.8,0,1
3690,0.26,Clear,Low,Evening,Scooter,24,1.0,33.8,1,0
9864,14.18,Rainy,Low,Evening,Bike,23,7.0,68.1,1,1
4761,7.72,Rainy,High,Afternoon,Bike,15,3.0,48.3,0,1
11648,18.47,Rainy,Medium,Afternoon,Car,14,15.0,59.5,0,1
9743,13.95,Snowy,Medium,Morning,Bike,19,10.0,65.1,1,1
8943,13.24,Rainy,Medium,Morning,Bike,19,6.0,71.2,1,2
7708,11.65,Snowy,High,Morning,Bike,12,6.0,65.8,1,1
141,19.27,Foggy,High,Afternoon,Bike,14,6.0,89.0,0,2
9413,12.76,Clear,Medium,Night,Scooter,15,6.0,42.8,0,1
8346,13.44,Rainy,Medium,Afternoon,Bike,17,6.0,61.9,0,1
4301,4.93,Windy,Medium,Afternoon,Bike,18,3.0,39.4,0,0
466,7.81,Clear,Low,Evening,Bike,11,4.0,42.0,1,1
8870,15.7,Rainy,Low,Afternoon,Car,13,10.0,44.3,0,1
3144,3.3,Snowy,Medium,Evening,Bike,6,0.0,37.9,1,0
6259,10.11,Windy,Low,Morning,Car,19,3.0,48.7,1,1
7910,11.88,Clear,Low,Night,Scooter,23,4.0,50.1,0,1
5626,6.52,Rainy,Low,Afternoon,Bike,15,3.0,42.2,0,1
6752,11.39,Rainy,Medium,Morning,Car,20,3.0,57.4,1,1
2909,1.95,Clear,High,Morning,Bike,12,0.0,41.4,1,1
567,8.15,Rainy,Low,Afternoon,Bike,26,2.0,50.0,0,1
7851,9.82,Windy,Medium,Morning,Scooter,17,4.0,51.4,1,1
3818,0.75,Clear,Medium,Afternoon,Bike,11,1.0,24.6,0,0
4606,7.61,Clear,Low,Evening,Bike,25,2.0,51.2,1,1
9021,15.58,Windy,Low,Evening,Bike,24,7.0,69.9,1,1
4446,7.98,Rainy,Medium,Morning,Bike,31,2.0,70.3,1,2
6464,10.37,Windy,Medium,Morning,Car,22,6.0,53.3,1,1
6626,9.71,Rainy,Medium,Morning,Bike,31,3.0,69.9,1,1
10256,16.71,Clear,Medium,Afternoon,Scooter,20,10.0,60.6,0,1
11738,18.18,Clear,High,Morning,Bike,25,23.0,75.8,1,2
3698,3.79,Foggy,Low,Morning,Scooter,8,1.0,26.5,1,0
825,10.98,Rainy,Low,Morning,Scooter,10,6.0,55.0,1,1
10001,19.15,Rainy,Medium,Afternoon,Bike,15,11.0,66.1,0,1
10910,16.3,Clear,Low,Morning,Bike,24,17.0,62.9,1,1
10572,19.14,Windy,Low,Morning,Scooter,17,17.0,64.1,1,1
5035,8.0,Windy,Medium,Evening,Bike,32,3.0,60.8,1,1
11052,16.17,Rainy,Medium,Morning,Bike,14,26.0,64.2,1,1
11722,19.53,Windy,High,Night,Scooter,13,26.0,65.8,0,1
2437,2.47,Clear,Medium,Afternoon,Car,14,0.0,24.5,0,0
9060,15.46,Clear,Low,Afternoon,Scooter,16,7.0,47.1,0,1
6130,11.25,Windy,Medium,Morning,Scooter,31,6.0,73.8,1,2
10389,18.28,Clear,High,Afternoon,Scooter,15,17.0,66.2,0,1
9776,12.57,Clear,Medium,Afternoon,Bike,15,9.0,54.9,0,1
10296,18.21,Clear,High,Afternoon,Car,15,26.0,63.4,0,1
3316,3.81,Rainy,Medium,Afternoon,Bike,16,0.0,40.7,0,1
3214,0.27,Clear,Medium,Morning,Scooter,21,0.0,32.9,1,0
7797,8.93,Rainy,Medium,Evening,Scooter,23,5.0,57.2,1,1
11833,17.82,Foggy,Low,Morning,Scooter,16,18.0,55.3,1,1
11470,19.79,Clear,Medium,Morning,Bike,25,21.0,80.4,1,2
2327,1.83,Snowy,Medium,Morning,Scooter,16,1.0,40.7,1,1
4494,6.04,Windy,High,Evening,Bike,17,3.0,52.8,1,1
6927,10.18,Clear,Low,Morning,Car,9,5.0,33.9,1,0
4305,5.46,Clear,Low,Afternoon,Bike,28,2.0,51.1,0,1
8300,13.1,Windy,Low,Morning,Scooter,15,8.0,48.7,1,1
11916,18.7,Clear,High,Evening,Bike,16,27.0,72.9,1,2
5267,7.71,Clear,Low,Evening,Bike,20,2.0,47.5,1,1
3352,3.69,Snowy,Low,Evening,Scooter,21,1.0,43.8,1,1
2806,1.05,Clear,Low,Night,Scooter,12,1.0,14.0,0,0
2660,0.37,Clear,Low,Afternoon,Bike,24,0.0,31.9,0,0
2051,1.29,Clear,Medium,Morning,Scooter,24,1.0,35.5,1,0
2042,1.28,Snowy,Low,Morning,Scooter,13,0.0,31.9,1,0
8042,15.31,Clear,Low,Morning,Bike,13,7.0,55.2,1,1
10984,19.64,Snowy,Medium,Evening,Car,16,26.0,70.1,1,2
2683,3.85,Clear,High,Evening,Car,15,1.0,43.8,1,1
9685,12.97,Clear,Low,Morning,Scooter,19,10.0,46.2,1,1
3285,3.69,Windy,High,Afternoon,Car,20,0.0,43.5,0,1
5729,6.22,Foggy,Medium,Morning,Car,9,1.0,36.7,1,0
4334,4.08,Clear,Medium,Evening,Bike,19,2.0,41.9,1,1
4359,5.94,Windy,High,Afternoon,Bike,7,2.0,33.7,0,0
631,14.41,Snowy,Medium,Evening,Bike,8,8.0,75.0,1,2
3289,3.33,Clear,Low,Morning,Scooter,28,0.0,38.5,1,0
6766,10.5,Clear,High,Morning,Scooter,20,4.0,54.0,1,1
4425,6.94,Snowy,Medium,Afternoon,Bike,14,2.0,44.2,0,1
5087,7.01,Clear,Medium,Night,Bike,26,2.0,52.3,0,1
863,10.73,Clear,Unknown,Afternoon,Bike,7,5.0,57.0,0,1
10145,17.73,Rainy,Low,Morning,Bike,28,20.0,77.0,1,2
7410,10.84,Snowy,Medium,Night,Car,17,3.0,53.5,0,1
2118,2.59,Foggy,Low,Morning,Bike,18,1.0,34.9,1,0
938,18.33,Foggy,Medium,Morning,Scooter,19,0.0,89.0,1,2
3126,0.69,Rainy,Medium,Afternoon,Bike,20,1.0,41.9,0,1
3795,2.46,Windy,Low,Evening,Scooter,11,1.0,24.8,1,0
4583,4.19,Clear,Low,Night,Car,27,2.0,37.0,0,0
5396,6.05,Windy,High,Evening,Bike,22,1.0,59.5,1,1
3071,1.87,Snowy,High,Afternoon,Car,18,1.0,46.9,0,1
11574,18.99,Foggy,Low,Evening,Bike,18,19.0,72.7,1,2
2629,1.69,Rainy,High,Afternoon,Bike,22,1.0,45.5,0,1
8633,15.28,Snowy,Medium,Afternoon,Car,13,10.0,53.7,0,1
6753,8.1,Clear,Medium,Afternoon,Bike,23,3.0,51.8,0,1
11773,16.51,Foggy,Low,Morning,Car,15,20.0,51.9,1,1
6200,11.38,Clear,Low,Morning,Bike,22,6.0,59.6,1,1
5100,4.86,Clear,Medium,Evening,Bike,10,3.0,33.0,1,0
9943,12.66,Rainy,Medium,Morning,Bike,14,8.0,62.3,1,1
9915,15.92,Snowy,Low,Evening,Bike,18,10.0,67.6,1,1
7553,9.66,Clear,Low,Evening,Car,11,3.0,33.8,1,0
6581,11.42,Rainy,Low,Afternoon,Bike,14,3.0,44.8,0,1
11689,16.65,Clear,Medium,Evening,Scooter,23,22.0,68.6,1,1
7425,8.0,Windy,Low,Morning,Bike,14,3.0,42.9,1,1
8343,13.07,Snowy,Medium,Evening,Scooter,16,6.0,62.0,1,1
11980,16.09,Clear,Medium,Morning,Car,17,27.0,57.9,1,1
6877,9.15,Clear,High,Morning,Bike,19,5.0,53.9,1,1
4911,7.7,Foggy,Low,Evening,Scooter,22,3.0,43.7,1,1
2958,3.07,Rainy,Low,Evening,Scooter,26,1.0,40.1,1,1
6575,11.39,Snowy,Low,Morning,Scooter,16,6.0,56.6,1,1
786,18.21,Foggy,Low,Morning,Bike,5,1.0,70.0,1,1
194,12.85,Rainy,Medium,Afternoon,Scooter,23,0.0,80.0,0,2
623,7.72,Rainy,Medium,Morning,Bike,11,5.0,36.0,1,0
6111,9.66,Clear,High,Evening,Bike,21,4.0,64.3,1,1
6472,10.44,Clear,Medium,Afternoon,Bike,12,4.0,51.1,0,1
5751,5.8,Clear,Low,Night,Scooter,17,1.0,31.3,0,0
4817,7.18,Clear,High,Morning,Bike,28,2.0,67.6,1,1
814,18.46,Clear,Unknown,Unknown,Scooter,29,1.0,89.0,0,2
9598,14.32,Foggy,High,Afternoon,Scooter,29,10.0,76.1,0,2
2100,3.34,Windy,Medium,Evening,Scooter,11,1.0,31.0,1,0
4974,5.19,Windy,High,Morning,Scooter,31,1.0,64.5,1,1
5879,4.48,Clear,Low,Afternoon,Bike,18,2.0,34.8,0,0
6688,8.53,Clear,Low,Morning,Bike,25,5.0,53.2,1,1
2988,3.14,Clear,High,Morning,Scooter,25,0.0,49.8,1,1
11768,19.29,Rainy,Medium,Afternoon,Bike,15,24.0,72.6,0,2
7544,11.41,Rainy,Low,Morning,Scooter,17,3.0,51.0,1,1
9903,14.23,Windy,High,Evening,Bike,12,10.0,62.7,1,1
10066,16.72,Clear,Low,Afternoon,Car,23,18.0,53.7,0,1
857,1.21,Snowy,Low,Afternoon,Bike,22,1.0,39.0,0,0
83,6.95,Clear,Medium,Morning,Scooter,25,2.0,58.0,1,1
6104,10.87,Clear,High,Evening,Bike,21,4.0,61.3,1,1
11817,16.17,Clear,Medium,Afternoon,Bike,19,14.0,66.1,0,1
8318,14.49,Foggy,Low,Morning,Bike,15,8.0,59.7,1,1
11312,18.98,Rainy,High,Morning,Bike,27,28.0,89.0,1,2
