Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
6.58,Foggy,Low,Morning,Scooter,12,7,36
10.64,Clear,Low,Morning,Car,18,3,54
11.16,Rainy,Low,Afternoon,Scooter,36,6,79
4.1,Snowy,Medium,Afternoon,Bike,37,9,57
19.41,Clear,Low,Afternoon,Bike,27,1,104
15.62,Clear,Low,Morning,Scooter,19,6,50
18.82,Rainy,Low,Night,Scooter,37,4,87
17.95,Rainy,Medium,Evening,Bike,29,4,77
12.16,Clear,High,Morning,Scooter,21,5,75
18.48,Clear,Low,Afternoon,Bike,37,8,104
2.23,Foggy,High,Afternoon,Scooter,6,5,23
4.32,Snowy,Low,Morning,Scooter,18,7,42
1.38,Foggy,High,Morning,Scooter,10,6,20
6.84,Rainy,Medium,Afternoon,Bike,10,8,38
8.08,Foggy,Medium,Night,Scooter,7,3,30
5.79,Foggy,Low,Afternoon,Bike,11,1,28
16.66,Foggy,High,Afternoon,Bike,12,6,64
7.46,Foggy,Medium,Morning,Scooter,19,5,43
5.98,Snowy,Low,Night,Scooter,33,0,56
11.08,Snowy,Low,Afternoon,Bike,37,10,66
3.25,Clear,Medium,Afternoon,Bike,34,8,40
16.14,Rainy,Medium,Evening,Car,31,8,73
1.95,Foggy,Low,Morning,Bike,33,1,39
19.74,Clear,High,Evening,Car,37,2,114
15.56,Clear,High,Evening,Car,31,4,100
4.37,Clear,High,Afternoon,Car,37,4,53
0.61,Snowy,Low,Morning,Scooter,8,0,22
16.4,Foggy,Medium,Night,Scooter,26,7,85
14.28,Foggy,Low,Afternoon,Bike,6,7,47
14.72,Rainy,Medium,Night,Car,14,3,63
15.54,Foggy,High,Night,Scooter,9,6,55
1.94,Foggy,High,Morning,Scooter,14,10,23
7.49,Clear,Medium,Evening,Scooter,37,9,52
2.76,Rainy,Medium,Morning,Scooter,17,2,34
17.33,Foggy,Low,Night,Scooter,35,5,88
12.65,Snowy,High,Afternoon,Car,28,9,69
6.95,Foggy,Low,Night,Car,19,9,33
1.74,Clear,Low,Afternoon,Car,33,8,34
6.56,Snowy,Low,Afternoon,Car,12,0,40
6.84,Clear,High,Morning,Bike,9,4,38
14.73,Foggy,Low,Night,Car,33,3,87
12.93,Snowy,Low,Evening,Scooter,8,7,47
17.8,Rainy,Low,Night,Car,16,10,58
9.71,Rainy,Low,Night,Bike,6,0,46
2.83,Snowy,Low,Evening,Scooter,31,8,43
14.41,Snowy,Low,Morning,Car,35,5,87
15.34,Clear,High,Night,Car,30,3,93
11.44,Snowy,Low,Night,Car,31,8,63
15.53,Clear,Medium,Afternoon,Scooter,9,10,60
10.13,Foggy,Low,Night,Scooter,24,4,52
10.69,Clear,Low,Evening,Bike,15,4,41
8.84,Snowy,High,Afternoon,Scooter,14,4,60
1.0,Snowy,High,Morning,Scooter,10,0,33
2.6,Foggy,Medium,Afternoon,Car,12,0,26
1.11,Snowy,Medium,Evening,Scooter,27,7,39
12.91,Snowy,High,Evening,Car,30,7,83
6.63,Rainy,High,Afternoon,Car,16,5,46
10.42,Rainy,Low,Morning,Scooter,30,10,66
18.2,Foggy,High,Afternoon,Bike,17,3,67
5.36,Clear,Medium,Morning,Bike,22,1,42
8.5,Rainy,Low,Afternoon,Scooter,29,1,57
15.23,Clear,Medium,Evening,Bike,37,8,92
4.96,Snowy,Low,Night,Car,16,4,42
2.0,Rainy,High,Night,Car,8,3,29
6.15,Foggy,Medium,Morning,Scooter,9,9,33
3.64,Foggy,Low,Morning,Bike,12,0,29
18.63,Foggy,Low,Morning,Bike,32,6,81
16.26,Rainy,High,Evening,Car,35,2,97
12.85,Clear,High,Afternoon,Scooter,13,5,68
17.49,Snowy,High,Evening,Bike,33,4,123
16.17,Clear,Medium,Night,Scooter,18,4,82
4.14,Clear,Low,Morning,Bike,26,10,33
17.9,Snowy,High,Afternoon,Car,15,4,77
11.02,Snowy,Medium,Night,Car,27,0,75
16.25,Rainy,Medium,Night,Scooter,5,0,74
17.97,Rainy,Medium,Night,Car,25,2,89
6.7,Rainy,High,Evening,Bike,30,9,59
2.65,Rainy,High,Morning,Car,27,3,48
4.94,Rainy,Low,Night,Scooter,5,4,25
8.83,Snowy,Low,Morning,Scooter,19,1,62
16.45,Clear,High,Evening,Scooter,25,7,75
17.28,Rainy,Medium,Night,Bike,13,10,69
0.64,Rainy,Medium,Evening,Bike,13,10,21
10.46,Clear,Medium,Evening,Bike,14,1,60
8.64,Rainy,Low,Morning,Bike,30,8,51
4.83,Clear,Medium,Night,Bike,39,1,52
2.84,Clear,Low,Evening,Car,29,8,35
7.08,Snowy,Low,Night,Bike,30,6,54
18.89,Foggy,Medium,Morning,Bike,15,7,82
6.8,Snowy,Medium,Evening,Car,6,10,41
10.62,Foggy,High,Morning,Bike,11,1,56
14.21,Foggy,High,Night,Scooter,22,6,74
7.59,Foggy,Medium,Night,Bike,31,5,51
19.45,Rainy,Low,Morning,Bike,38,3,105
19.27,Snowy,Low,Afternoon,Scooter,31,6,89
5.41,Foggy,Low,Evening,Scooter,21,3,38
10.2,Clear,Low,Night,Scooter,28,1,50
6.37,Rainy,Low,Night,Scooter,29,9,48
6.05,Snowy,High,Evening,Bike,11,6,44
1.22,Foggy,Medium,Morning,Scooter,10,7,16
12.39,Clear,High,Morning,Scooter,28,1,65
10.3,Snowy,Low,Morning,Car,37,4,68
1.5,Snowy,Low,Afternoon,Scooter,33,0,46
5.93,Rainy,Low,Afternoon,Scooter,26,6,43
18.21,Snowy,Low,Night,Car,30,7,109
5.17,Rainy,Medium,Morning,Car,32,5,58
3.33,Foggy,Low,Evening,Bike,25,4,34
10.04,Rainy,Medium,Night,Car,11,5,44
19.72,Clear,Low,Evening,Bike,21,1,80
5.22,Rainy,Medium,Night,Car,24,0,52
13.61,Clear,High,Afternoon,Car,24,6,68
15.35,Rainy,Low,Night,Bike,26,6,64
5.13,Snowy,Medium,Afternoon,Car,32,9,56
14.7,Foggy,High,Night,Bike,11,10,76
7.67,Clear,Low,Morning,Car,5,9,33
12.83,Rainy,Low,Evening,Scooter,36,1,68
12.85,Rainy,Low,Morning,Car,17,1,68
10.95,Rainy,Medium,Night,Bike,34,0,70
2.26,Snowy,Medium,Night,Car,27,9,41
16.79,Snowy,High,Night,Bike,23,7,107
6.76,Clear,Medium,Afternoon,Bike,36,7,52
4.14,Clear,Medium,Evening,Scooter,34,0,46
1.3,Snowy,Low,Evening,Scooter,33,10,38
12.02,Clear,Low,Night,Bike,33,7,77
13.71,Foggy,Low,Night,Car,34,8,79
0.82,Foggy,Low,Afternoon,Bike,20,3,22
10.49,Snowy,Low,Morning,Bike,23,0,73
4.92,Clear,Low,Morning,Car,22,0,34
13.08,Rainy,Low,Evening,Car,5,2,53
3.9,Foggy,High,Afternoon,Car,18,4,36
13.97,Snowy,High,Night,Car,6,4,57
8.04,Clear,High,Evening,Bike,32,8,60
18.77,Snowy,High,Afternoon,Bike,34,9,124
3.18,Rainy,Low,Morning,Scooter,8,1,22
7.15,Foggy,High,Afternoon,Bike,5,1,36
2.71,Snowy,Low,Morning,Car,12,5,28
18.53,Snowy,High,Afternoon,Scooter,33,8,91
17.61,Snowy,Medium,Evening,Car,7,0,95
5.53,Rainy,High,Morning,Bike,36,8,60
13.37,Snowy,High,Evening,Scooter,14,8,69
16.44,Rainy,Low,Evening,Car,14,8,77
11.33,Rainy,High,Morning,Scooter,23,4,60
10.83,Rainy,Medium,Morning,Scooter,38,8,72
5.22,Foggy,Low,Night,Bike,37,10,46
2.32,Foggy,Low,Night,Car,27,3,32
18.0,Snowy,High,Night,Scooter,32,1,120
18.06,Snowy,Low,Evening,Scooter,36,5,105
12.85,Foggy,Low,Evening,Car,11,3,50
7.11,Clear,Low,Night,Scooter,33,5,54
7.31,Foggy,Low,Evening,Scooter,12,2,30
14.66,Rainy,Low,Evening,Scooter,5,5,41
17.99,Foggy,Low,Morning,Car,7,1,55
17.8,Rainy,Medium,Morning,Car,28,1,85
15.71,Snowy,High,Evening,Car,27,8,90
13.02,Clear,Medium,Night,Car,12,6,59
2.14,Snowy,Low,Afternoon,Bike,7,2,28
3.65,Rainy,Low,Night,Scooter,37,10,45
18.02,Rainy,High,Afternoon,Car,32,0,100
12.33,Rainy,Medium,Night,Scooter,12,7,45
0.68,Clear,High,Morning,Scooter,38,5,42
2.48,Foggy,Medium,Evening,Bike,39,6,45
13.44,Snowy,Low,Evening,Car,36,8,80
0.6,Snowy,High,Morning,Car,28,4,45
3.64,Foggy,High,Afternoon,Scooter,18,0,35
11.2,Snowy,Low,Afternoon,Car,36,9,63
13.99,Clear,High,Afternoon,Scooter,20,6,66
13.21,Snowy,Medium,Morning,Scooter,8,4,56
4.87,Rainy,Medium,Afternoon,Bike,25,2,44
14.39,Foggy,Medium,Morning,Bike,18,8,73
5.13,Clear,Medium,Night,Bike,35,0,49
6.85,Foggy,Low,Night,Scooter,22,0,44
15.06,Clear,High,Morning,Car,11,0,62
13.17,Rainy,Medium,Evening,Bike,14,2,58
17.06,Foggy,Low,Night,Car,11,5,60
13.32,Snowy,High,Afternoon,Bike,37,9,100
11.58,Clear,High,Morning,Bike,27,10,65
2.33,Foggy,Low,Afternoon,Scooter,25,2,32
7.67,Snowy,Low,Afternoon,Bike,23,7,48
5.67,Foggy,Medium,Evening,Bike,23,9,45
5.26,Foggy,High,Afternoon,Scooter,33,1,51
19.47,Foggy,High,Evening,Car,22,8,95
8.17,Clear,Low,Night,Bike,6,2,36
17.89,Snowy,High,Morning,Scooter,5,4,94
12.81,Rainy,Medium,Afternoon,Bike,9,9,55
16.0,Clear,High,Morning,Scooter,24,7,62
10.3,Clear,Low,Afternoon,Car,15,1,38
11.75,Clear,Low,Morning,Car,6,5,52
10.1,Rainy,Medium,Afternoon,Scooter,7,4,48
4.31,Snowy,Medium,Afternoon,Scooter,27,9,51
14.59,Snowy,High,Afternoon,Scooter,16,8,67
5.98,Snowy,High,Afternoon,Car,24,4,57
0.97,Foggy,Low,Afternoon,Bike,9,1,13
13.09,Foggy,Medium,Afternoon,Car,34,4,88
3.95,Foggy,Medium,Afternoon,Scooter,13,3,31
18.84,Rainy,Medium,Afternoon,Scooter,38,10,112
19.1,Foggy,High,Afternoon,Car,39,6,91
18.34,Rainy,Medium,Morning,Scooter,26,5,91
7.72,Snowy,Low,Evening,Car,28,1,64
0.8,Foggy,Low,Afternoon,Scooter,21,10,18
18.6,Foggy,High,Evening,Bike,14,10,94
8.85,Clear,High,Afternoon,Bike,34,4,76
19.35,Rainy,Medium,Afternoon,Scooter,27,6,105
19.29,Snowy,High,Morning,Car,36,10,117
17.13,Clear,Low,Night,Bike,21,6,66
6.24,Clear,Medium,Night,Car,21,4,40
8.01,Snowy,Low,Morning,Scooter,18,8,56
17.1,Clear,Medium,Evening,Car,13,3,54
6.68,Rainy,High,Night,Bike,6,10,43
3.81,Rainy,Medium,Morning,Car,29,2,49
11.36,Foggy,Medium,Morning,Car,13,3,56
18.76,Clear,Low,Night,Scooter,26,4,98
14.07,Foggy,Low,Evening,Scooter,8,5,45
11.62,Clear,Medium,Morning,Scooter,30,2,63
2.39,Rainy,High,Afternoon,Bike,33,1,49
12.49,Rainy,High,Evening,Bike,38,3,86
19.81,Rainy,Low,Evening,Scooter,27,4,79
3.23,Clear,High,Night,Scooter,15,3,32
10.61,Rainy,Low,Night,Bike,10,10,55
17.61,Clear,High,Afternoon,Bike,22,2,104
14.94,Foggy,Medium,Morning,Bike,25,7,64
14.09,Clear,Low,Night,Bike,38,9,73
14.2,Foggy,Low,Night,Scooter,21,3,75
7.51,Clear,Medium,Evening,Bike,29,1,49
6.23,Foggy,Low,Night,Scooter,16,1,30
16.28,Rainy,High,Night,Car,27,0,79
16.3,Foggy,High,Night,Car,26,3,86
17.41,Rainy,Low,Night,Bike,25,9,69
18.31,Rainy,High,Evening,Car,31,8,114
10.47,Foggy,Low,Afternoon,Car,35,10,59
10.28,Clear,Medium,Afternoon,Car,10,6,46
16.07,Clear,Low,Morning,Bike,31,9,69
13.17,Snowy,Medium,Night,Bike,38,6,89
14.19,Clear,High,Evening,Car,16,6,72
16.02,Snowy,Medium,Morning,Scooter,11,7,80
17.86,Clear,High,Morning,Car,14,0,89
7.09,Clear,Low,Afternoon,Bike,21,9,41
7.82,Rainy,High,Evening,Bike,30,9,70
2.33,Snowy,Low,Evening,Bike,25,7,40
11.78,Clear,Low,Evening,Car,32,3,72
1.2,Snowy,Medium,Afternoon,Scooter,6,3,24
9.58,Rainy,Medium,Afternoon,Bike,5,3,37
11.08,Rainy,Medium,Afternoon,Bike,30,5,65
6.09,Snowy,Medium,Afternoon,Car,33,6,63
12.02,Rainy,High,Afternoon,Scooter,25,5,69
1.09,Foggy,High,Night,Car,15,0,28
1.23,Foggy,High,Night,Bike,15,7,26
16.54,Rainy,Low,Evening,Scooter,39,9,99
7.52,Foggy,High,Morning,Scooter,38,10,67
2.98,Clear,High,Evening,Bike,28,6,41
10.68,Snowy,High,Morning,Scooter,26,5,77
15.51,Clear,Medium,Afternoon,Scooter,9,5,53
4.71,Snowy,High,Morning,Car,37,4,62
12.65,Rainy,Low,Evening,Bike,24,5,59
2.16,Clear,Medium,Evening,Bike,23,8,29
1.51,Rainy,Low,Morning,Bike,39,9,41
10.86,Rainy,High,Night,Bike,21,8,74
11.04,Snowy,Medium,Afternoon,Bike,38,9,72
12.93,Snowy,Low,Afternoon,Scooter,13,7,66
14.66,Snowy,High,Evening,Car,30,9,89
19.53,Clear,Low,Night,Bike,6,8,61
10.57,Foggy,Low,Morning,Car,13,9,44
6.8,Snowy,Low,Afternoon,Car,13,7,40
16.01,Snowy,High,Night,Scooter,21,7,87
5.78,Clear,High,Afternoon,Bike,5,0,35
9.06,Snowy,Low,Night,Scooter,29,9,54
2.03,Clear,Medium,Night,Bike,29,10,32
0.99,Rainy,Medium,Evening,Scooter,39,4,46
19.27,Snowy,High,Afternoon,Car,7,3,104
16.8,Snowy,High,Morning,Bike,34,1,99
14.07,Rainy,High,Evening,Car,38,7,96
8.47,Rainy,High,Evening,Car,16,2,59
3.88,Rainy,High,Morning,Scooter,23,3,49
3.55,Snowy,Medium,Evening,Bike,21,6,47
5.38,Foggy,High,Night,Car,14,9,37
11.21,Foggy,Low,Night,Scooter,16,8,50
14.43,Foggy,Low,Afternoon,Bike,20,1,80
13.37,Snowy,Medium,Afternoon,Bike,28,2,81
5.96,Rainy,Low,Morning,Car,23,3,43
19.12,Snowy,Medium,Afternoon,Bike,12,9,66
14.89,Rainy,Medium,Night,Car,35,0,99
11.31,Snowy,Low,Morning,Bike,25,6,76
12.43,Snowy,High,Morning,Scooter,21,1,66
8.68,Rainy,Low,Afternoon,Car,27,4,58
5.33,Foggy,Low,Night,Car,20,0,37
7.44,Rainy,Medium,Morning,Bike,10,2,39
15.28,Clear,Low,Night,Bike,12,1,80
0.78,Clear,Medium,Night,Car,29,0,34
2.76,Rainy,High,Night,Bike,22,6,39
1.4,Snowy,High,Afternoon,Scooter,29,4,48
1.29,Clear,High,Evening,Bike,16,0,30
17.18,Clear,Low,Evening,Scooter,19,5,53
14.22,Snowy,Medium,Morning,Scooter,30,4,88
9.75,Snowy,High,Night,Scooter,30,2,75
2.41,Foggy,Medium,Afternoon,Scooter,36,6,40
10.09,Snowy,Medium,Night,Scooter,14,10,48
9.73,Rainy,High,Night,Bike,20,9,63
3.88,Rainy,High,Afternoon,Scooter,11,8,32
8.96,Foggy,Medium,Evening,Bike,21,8,60
8.27,Clear,High,Night,Scooter,27,8,60
12.51,Clear,Medium,Night,Car,30,1,84
12.88,Snowy,Medium,Evening,Scooter,25,2,70
1.38,Rainy,High,Afternoon,Car,26,6,41
7.8,Clear,Low,Morning,Scooter,11,4,34
12.7,Foggy,High,Evening,Scooter,18,1,61
10.31,Foggy,Low,Morning,Scooter,19,2,40
17.2,Rainy,Medium,Morning,Car,11,9,56
13.34,Foggy,Medium,Evening,Car,13,5,64
3.68,Foggy,Low,Night,Scooter,12,6,22
1.88,Rainy,Medium,Morning,Bike,27,8,36
13.03,Snowy,Low,Morning,Scooter,33,0,83
1.02,Snowy,Low,Afternoon,Car,22,10,30
11.92,Foggy,Medium,Night,Scooter,35,6,71
18.83,Snowy,Low,Morning,Car,34,7,92
11.72,Snowy,High,Afternoon,Car,39,2,98
8.07,Foggy,High,Night,Car,22,3,59
13.04,Snowy,Medium,Evening,Scooter,21,9,69
9.44,Foggy,Medium,Evening,Car,18,5,47
11.14,Clear,Low,Afternoon,Car,35,9,60
18.86,Rainy,Low,Evening,Scooter,28,6,97
8.03,Rainy,Low,Morning,Car,39,3,62
19.24,Snowy,Low,Night,Scooter,38,7,88
18.15,Snowy,High,Morning,Car,7,4,67
4.32,Snowy,High,Morning,Bike,30,0,60
1.85,Rainy,Medium,Evening,Bike,27,3,40
2.47,Clear,Low,Morning,Car,19,2,28
0.86,Clear,Low,Evening,Bike,8,8,9
2.34,Rainy,Medium,Night,Scooter,33,7,43
13.82,Clear,Low,Night,Bike,26,0,80
1.89,Rainy,Low,Morning,Car,29,10,35
6.72,Clear,Low,Afternoon,Car,17,5,35
16.98,Foggy,Low,Evening,Scooter,22,8,68
0.95,Foggy,Low,Evening,Car,37,6,34
16.38,Rainy,Medium,Morning,Scooter,20,3,91
6.0,Clear,Low,Evening,Bike,6,0,24
2.8,Snowy,Medium,Evening,Bike,39,1,61
14.09,Clear,Low,Afternoon,Scooter,38,4,80
12.76,Foggy,High,Afternoon,Scooter,34,10,74
17.61,Foggy,High,Morning,Car,17,4,62
14.83,Clear,High,Afternoon,Bike,17,7,71
16.17,Clear,High,Morning,Scooter,22,5,73
6.0,Snowy,Medium,Night,Bike,36,7,59
3.96,Snowy,Medium,Morning,Scooter,36,1,60
15.14,Clear,Low,Night,Bike,39,2,100
16.23,Clear,High,Morning,Car,33,5,90
19.81,Clear,Medium,Evening,Bike,33,9,105
8.55,Clear,Low,Afternoon,Bike,20,2,40
7.75,Rainy,Low,Night,Bike,14,5,42
15.64,Clear,Medium,Morning,Bike,34,5,72
7.15,Snowy,High,Afternoon,Bike,29,1,71
18.65,Foggy,Low,Morning,Car,24,6,97
17.24,Rainy,High,Afternoon,Scooter,9,1,81
8.87,Clear,High,Afternoon,Bike,5,5,35
15.14,Foggy,High,Morning,Car,34,0,83
15.21,Rainy,Low,Night,Bike,7,2,66
2.51,Foggy,High,Night,Bike,18,1,34
18.1,Clear,Low,Evening,Scooter,34,6,95
10.35,Clear,High,Afternoon,Bike,8,3,59
16.62,Snowy,Low,Evening,Car,22,7,85
6.74,Clear,High,Evening,Car,29,5,53
17.96,Clear,Medium,Morning,Scooter,5,9,53
8.09,Rainy,High,Morning,Bike,19,3,51
0.71,Snowy,High,Morning,Car,13,4,33
18.15,Rainy,Low,Afternoon,Bike,19,8,77
2.28,Foggy,Low,Morning,Bike,28,6,32
6.73,Clear,High,Morning,Bike,8,9,39
19.03,Foggy,Medium,Afternoon,Scooter,16,8,58
19.04,Rainy,Medium,Afternoon,Bike,10,6,77
11.68,Clear,Low,Night,Car,28,0,56
12.82,Clear,Medium,Morning,Bike,15,7,50
9.24,Rainy,High,Morning,Car,17,3,65
6.22,Rainy,Low,Morning,Bike,38,2,53
6.91,Rainy,High,Night,Car,29,6,58
13.61,Rainy,Low,Morning,Car,11,2,51
15.17,Rainy,Low,Night,Bike,8,7,75
15.94,Clear,Low,Evening,Bike,12,5,66
15.9,Rainy,Low,Night,Car,24,4,68
2.28,Clear,Medium,Evening,Scooter,33,3,40
10.14,Clear,High,Morning,Bike,14,7,59
1.62,Rainy,High,Evening,Scooter,38,7,51
11.22,Rainy,High,Night,Bike,30,0,72
9.11,Snowy,Low,Afternoon,Bike,7,8,54
17.81,Clear,Medium,Evening,Bike,10,4,90
7.34,Rainy,High,Evening,Bike,9,3,54
2.78,Rainy,Medium,Morning,Scooter,9,5,27
3.29,Rainy,Low,Night,Bike,27,5,40
15.35,Snowy,High,Evening,Car,13,1,78
12.56,Snowy,Medium,Evening,Car,39,7,92
2.47,Foggy,Low,Evening,Scooter,24,6,28
2.14,Clear,Medium,Evening,Bike,39,0,48
14.17,Foggy,High,Afternoon,Car,22,4,71
1.92,Rainy,High,Night,Scooter,21,5,38
16.53,Snowy,Low,Morning,Bike,28,3,102
14.27,Snowy,Low,Morning,Car,7,1,54
2.09,Foggy,Low,Afternoon,Car,36,3,40
2.15,Snowy,Medium,Night,Scooter,39,0,56
19.74,Rainy,Medium,Evening,Bike,17,6,104
7.8,Snowy,Medium,Afternoon,Bike,29,1,66
7.73,Foggy,Low,Night,Car,13,1,37
16.35,Rainy,High,Evening,Car,8,8,86
18.97,Foggy,High,Afternoon,Car,18,4,75
19.73,Snowy,Medium,Night,Bike,38,1,128
15.19,Foggy,Medium,Morning,Scooter,15,10,61
7.84,Foggy,High,Morning,Scooter,7,8,38
2.13,Clear,High,Night,Bike,32,8,40
15.65,Snowy,Medium,Morning,Scooter,33,0,94
11.39,Snowy,Medium,Night,Car,13,10,56
8.77,Foggy,High,Evening,Scooter,7,2,35
18.17,Clear,Low,Night,Scooter,29,3,72
2.67,Snowy,Medium,Evening,Scooter,38,6,51
10.11,Rainy,High,Afternoon,Car,16,9,68
0.72,Foggy,High,Night,Bike,13,3,25
9.64,Snowy,High,Afternoon,Car,19,1,65
1.6,Rainy,High,Morning,Bike,29,6,44
2.82,Snowy,Low,Evening,Bike,9,5,28
2.79,Rainy,High,Night,Bike,15,2,39
13.16,Foggy,Medium,Afternoon,Scooter,38,5,84
15.05,Snowy,Low,Evening,Scooter,28,10,90
11.88,Snowy,High,Evening,Bike,19,5,72
19.26,Clear,Low,Morning,Bike,12,4,88
7.81,Foggy,Medium,Morning,Scooter,9,3,34
6.07,Rainy,High,Evening,Car,30,9,62
17.44,Snowy,Medium,Evening,Bike,22,0,75
4.86,Snowy,High,Night,Car,10,9,42
19.28,Rainy,High,Evening,Scooter,17,5,93
0.74,Foggy,High,Night,Bike,32,1,40
19.41,Clear,High,Evening,Car,9,2,64
1.34,Clear,High,Morning,Car,17,7,28
17.88,Snowy,Low,Night,Car,21,9,71
10.79,Rainy,High,Afternoon,Scooter,36,5,79
19.86,Snowy,High,Morning,Scooter,33,2,96
1.94,Rainy,Low,Night,Car,7,6,17
11.3,Clear,Low,Night,Car,38,3,70
19.4,Foggy,Low,Afternoon,Scooter,31,8,80
10.7,Rainy,Low,Night,Car,17,4,47
12.77,Clear,Low,Evening,Car,37,2,65
14.07,Snowy,Low,Afternoon,Scooter,10,1,62
9.36,Rainy,High,Morning,Car,28,10,69
12.74,Foggy,High,Morning,Car,23,1,81
11.89,Snowy,Medium,Evening,Car,20,2,61
18.07,Snowy,High,Morning,Scooter,32,1,98
1.39,Clear,High,Night,Car,37,3,44
5.98,Rainy,Low,Night,Scooter,17,1,35
19.03,Snowy,Low,Evening,Scooter,29,9,96
17.86,Foggy,High,Morning,Bike,31,8,96
9.39,Rainy,Medium,Morning,Bike,11,1,46
12.59,Foggy,Low,Evening,Car,9,8,40
5.91,Snowy,High,Afternoon,Scooter,35,5,60
4.17,Foggy,High,Morning,Bike,27,0,51
9.54,Clear,Medium,Afternoon,Car,14,3,58
7.39,Foggy,Medium,Morning,Bike,36,0,56
11.88,Rainy,Low,Morning,Bike,34,5,66
2.02,Foggy,Medium,Morning,Scooter,35,3,43
19.5,Foggy,High,Morning,Scooter,22,2,104
19.73,Clear,High,Night,Bike,6,2,78
14.11,Foggy,Medium,Afternoon,Bike,18,8,52
10.95,Foggy,Medium,Afternoon,Scooter,17,5,42
6.54,Snowy,Medium,Morning,Car,33,8,63
16.37,Snowy,Medium,Morning,Scooter,16,4,75
13.85,Rainy,Low,Afternoon,Bike,6,1,45
3.67,Snowy,Medium,Night,Car,36,7,56
18.26,Snowy,Low,Evening,Bike,17,4,67
16.54,Snowy,High,Evening,Car,31,1,109
19.02,Snowy,Medium,Afternoon,Bike,21,3,88
14.65,Clear,Low,Morning,Car,35,8,61
12.46,Snowy,Medium,Morning,Car,38,3,89
8.66,Clear,High,Night,Bike,28,3,60
18.69,Clear,High,Evening,Car,39,1,121
17.39,Snowy,High,Night,Scooter,10,5,82
1.38,Foggy,Medium,Evening,Bike,23,10,26
1.01,Clear,Medium,Afternoon,Scooter,34,1,39
7.84,Foggy,Low,Evening,Bike,11,6,32
16.31,Foggy,High,Night,Car,14,2,88
19.75,Snowy,Medium,Night,Car,36,2,103
3.43,Rainy,High,Night,Car,38,4,57
12.09,Snowy,High,Afternoon,Bike,32,2,75
7.93,Rainy,Low,Evening,Scooter,19,1,47
19.41,Rainy,Low,Evening,Scooter,34,9,103
16.92,Snowy,Low,Night,Bike,33,8,104
16.85,Snowy,Low,Evening,Bike,26,1,80
9.64,Rainy,High,Morning,Scooter,8,10,43
8.59,Snowy,Low,Morning,Scooter,24,1,64
5.83,Rainy,Low,Morning,Scooter,36,7,57
1.6,Foggy,Low,Evening,Scooter,8,8,10
17.36,Snowy,Low,Afternoon,Bike,31,6,92
16.35,Foggy,High,Afternoon,Bike,21,2,76
19.99,Clear,Low,Afternoon,Car,16,8,92
19.93,Foggy,High,Afternoon,Scooter,26,2,75
11.33,Foggy,Medium,Morning,Car,21,4,52
